Player,Eric Hipwood,Logan Morris,Sam Day,Callum Ah Chee,Cam Rayner,Charlie Cameron,Kai Lohmann,Zac Bailey,Hugh McCluggage,Jarrod Berry,Josh Dunkley,Lachie Neale,Levi Ashcroft,Will Ashcroft,Darcy Fort,Darcy Wilmot,Dayne Zorko,Jaspa Fletcher,Noah Answerth,Ryan Lester,Darcy Gardiner,Harris Andrews,Jack Payne
Eric Hipwood,1.000,-0.122,0.256,0.104,0.022,-0.154,0.060,-0.015,0.102,-0.074,-0.128,0.491,-0.112,0.193,-0.364,0.141,-0.188,-0.303,0.306,-0.076,0.304,0.080,-0.148
Logan Morris,-0.122,1.000,0.090,-0.055,0.019,-0.138,0.280,-0.077,0.155,0.183,-0.036,-0.061,-0.119,0.119,0.093,-0.372,-0.189,0.396,-0.282,-0.446,-0.064,-0.036,0.312
Sam Day,0.256,0.090,1.000,-0.236,0.005,-0.167,-0.493,-0.382,-0.706,0.379,-0.004,0.037,0.011,-0.312,0.426,0.122,0.063,-0.009,-0.096,0.011,0.738,-0.496,0.108
Callum Ah Chee,0.104,-0.055,-0.236,1.000,-0.033,-0.181,0.347,0.114,0.037,0.257,-0.087,-0.042,-0.278,-0.101,-0.194,0.056,0.120,0.035,0.041,0.183,0.004,0.152,-0.356
Cam Rayner,0.022,0.019,0.005,-0.033,1.000,-0.263,0.087,0.294,0.096,-0.104,0.209,0.213,-0.006,0.189,-0.166,0.351,-0.117,0.023,-0.511,-0.369,-0.231,-0.133,0.235
Charlie Cameron,-0.154,-0.138,-0.167,-0.181,-0.263,1.000,0.077,0.255,-0.031,-0.037,0.090,0.230,0.309,0.035,-0.134,-0.019,0.104,0.079,0.116,0.116,0.005,0.018,-0.352
Kai Lohmann,0.060,0.280,-0.493,0.347,0.087,0.077,1.000,0.085,0.279,0.189,-0.194,0.176,-0.069,-0.118,-0.606,-0.532,-0.323,0.375,0.110,-0.386,-0.433,0.742,0.467
Zac Bailey,-0.015,-0.077,-0.382,0.114,0.294,0.255,0.085,1.000,0.377,0.054,0.154,0.190,0.031,0.287,-0.084,0.339,-0.117,0.294,-0.259,0.139,0.407,0.007,0.334
Hugh McCluggage,0.102,0.155,-0.706,0.037,0.096,-0.031,0.279,0.377,1.000,-0.270,0.096,0.067,-0.007,0.428,-0.126,-0.213,-0.399,0.211,0.290,0.048,-0.125,0.347,0.491
Jarrod Berry,-0.074,0.183,0.379,0.257,-0.104,-0.037,0.189,0.054,-0.270,1.000,-0.032,0.011,0.031,-0.112,0.323,0.038,-0.061,0.054,-0.195,0.081,0.155,-0.100,-0.060
Josh Dunkley,-0.128,-0.036,-0.004,-0.087,0.209,0.090,-0.194,0.154,0.096,-0.032,1.000,0.052,0.309,0.232,0.019,0.524,0.151,0.304,-0.269,0.080,-0.120,-0.035,-0.007
Lachie Neale,0.491,-0.061,0.037,-0.042,0.213,0.230,0.176,0.190,0.067,0.011,0.052,1.000,-0.160,-0.014,-0.508,0.305,-0.237,-0.002,-0.197,-0.250,0.261,-0.184,0.055
Levi Ashcroft,-0.112,-0.119,0.011,-0.278,-0.006,0.309,-0.069,0.031,-0.007,0.031,0.309,-0.160,1.000,0.340,0.025,0.022,0.063,0.231,-0.197,-0.169,0.194,0.104,0.102
Will Ashcroft,0.193,0.119,-0.312,-0.101,0.189,0.035,-0.118,0.287,0.428,-0.112,0.232,-0.014,0.340,1.000,-0.106,-0.079,0.148,0.224,0.250,-0.075,0.174,0.052,0.379
Darcy Fort,-0.364,0.093,0.426,-0.194,-0.166,-0.134,-0.606,-0.084,-0.126,0.323,0.019,-0.508,0.025,-0.106,1.000,0.315,-0.030,0.166,-0.112,0.442,0.007,-0.093,-0.230
Darcy Wilmot,0.141,-0.372,0.122,0.056,0.351,-0.019,-0.532,0.339,-0.213,0.038,0.524,0.305,0.022,-0.079,0.315,1.000,0.236,-0.060,-0.397,0.267,0.100,-0.165,-0.362
Dayne Zorko,-0.188,-0.189,0.063,0.120,-0.117,0.104,-0.323,-0.117,-0.399,-0.061,0.151,-0.237,0.063,0.148,-0.030,0.236,1.000,0.002,0.346,0.365,-0.008,0.009,-0.499
Jaspa Fletcher,-0.303,0.396,-0.009,0.035,0.023,0.079,0.375,0.294,0.211,0.054,0.304,-0.002,0.231,0.224,0.166,-0.060,0.002,1.000,-0.172,-0.046,-0.162,0.207,0.719
Noah Answerth,0.306,-0.282,-0.096,0.041,-0.511,0.116,0.110,-0.259,0.290,-0.195,-0.269,-0.197,-0.197,0.250,-0.112,-0.397,0.346,-0.172,1.000,0.558,0.127,0.451,0.001
Ryan Lester,-0.076,-0.446,0.011,0.183,-0.369,0.116,-0.386,0.139,0.048,0.081,0.080,-0.250,-0.169,-0.075,0.442,0.267,0.365,-0.046,0.558,1.000,0.241,0.293,-0.232
Darcy Gardiner,0.304,-0.064,0.738,0.004,-0.231,0.005,-0.433,0.407,-0.125,0.155,-0.120,0.261,0.194,0.174,0.007,0.100,-0.008,-0.162,0.127,0.241,1.000,-0.111,-0.344
Harris Andrews,0.080,-0.036,-0.496,0.152,-0.133,0.018,0.742,0.007,0.347,-0.100,-0.035,-0.184,0.104,0.052,-0.093,-0.165,0.009,0.207,0.451,0.293,-0.111,1.000,0.356
Jack Payne,-0.148,0.312,0.108,-0.356,0.235,-0.352,0.467,0.334,0.491,-0.060,-0.007,0.055,0.102,0.379,-0.230,-0.362,-0.499,0.719,0.001,-0.232,-0.344,0.356,1.000
