Player,Jeremy Cameron,Oliver Henry,Shannon Neale,Brad Close,Gryan Miers,Patrick Dangerfield,Shaun Mannagh,Tyson Stengle,Bailey Smith,Jack Bowes,Max Holmes,Oliver Dempsey,Tom Atkins,Mark Blicavs,Rhys Stanley,Lawson Humphries,Mark O'Connor,Oisin Mullin,Tom Stewart,Zach Guthrie,Connor O'Sullivan,Jack Henry,Sam De Koning
Jeremy Cameron,1.000,0.619,0.295,-0.074,0.080,-0.078,0.011,-0.110,0.459,-0.006,-0.077,0.375,0.182,-0.292,0.312,-0.170,-0.048,0.288,-0.309,0.370,0.044,-0.284,0.001
Oliver Henry,0.619,1.000,0.296,0.191,0.325,-0.044,0.188,-0.188,0.280,-0.300,0.416,0.463,-0.095,-0.202,0.297,0.336,0.361,-0.033,-0.252,0.476,-0.442,-0.125,-0.047
Shannon Neale,0.295,0.296,1.000,-0.128,0.129,-0.183,-0.014,0.520,0.462,0.004,0.208,0.094,-0.110,-0.151,0.027,-0.169,0.132,0.279,0.165,-0.018,-0.275,-0.107,-0.339
Brad Close,-0.074,0.191,-0.128,1.000,0.399,0.101,0.262,-0.323,-0.094,0.249,0.136,0.234,-0.154,0.160,-0.402,0.142,0.050,-0.020,0.246,0.397,0.052,-0.221,-0.037
Gryan Miers,0.080,0.325,0.129,0.399,1.000,-0.031,0.430,-0.199,0.131,0.123,0.462,0.128,-0.108,0.105,-0.011,0.047,0.346,0.183,0.050,0.371,0.111,-0.404,-0.224
Patrick Dangerfield,-0.078,-0.044,-0.183,0.101,-0.031,1.000,-0.009,-0.154,-0.293,0.307,-0.144,-0.100,-0.148,-0.420,-0.301,0.330,-0.514,-0.088,-0.236,0.092,0.204,-0.127,0.204
Shaun Mannagh,0.011,0.188,-0.014,0.262,0.430,-0.009,1.000,-0.240,-0.257,-0.041,0.217,-0.022,-0.115,0.230,-0.105,0.192,0.269,-0.175,-0.448,0.319,-0.231,0.125,0.083
Tyson Stengle,-0.110,-0.188,0.520,-0.323,-0.199,-0.154,-0.240,1.000,0.357,-0.240,0.219,-0.142,0.082,-0.162,-0.109,-0.340,0.173,0.079,0.213,-0.621,-0.246,0.134,-0.427
Bailey Smith,0.459,0.280,0.462,-0.094,0.131,-0.293,-0.257,0.357,1.000,0.278,0.389,-0.141,0.134,-0.194,-0.007,-0.399,0.413,0.125,0.137,-0.171,0.001,-0.038,-0.323
Jack Bowes,-0.006,-0.300,0.004,0.249,0.123,0.307,-0.041,-0.240,0.278,1.000,0.267,-0.552,-0.202,0.116,-0.338,0.021,-0.095,0.260,0.232,0.015,0.240,-0.459,-0.011
Max Holmes,-0.077,0.416,0.208,0.136,0.462,-0.144,0.217,0.219,0.389,0.267,1.000,-0.096,-0.013,0.099,0.130,-0.083,0.452,-0.015,-0.005,-0.111,-0.306,0.094,-0.390
Oliver Dempsey,0.375,0.463,0.094,0.234,0.128,-0.100,-0.022,-0.142,-0.141,-0.552,-0.096,1.000,0.255,0.032,0.186,0.041,-0.212,0.152,0.003,0.367,-0.008,-0.137,-0.026
Tom Atkins,0.182,-0.095,-0.110,-0.154,-0.108,-0.148,-0.115,0.082,0.134,-0.202,-0.013,0.255,1.000,0.020,-0.150,-0.511,0.091,0.166,-0.218,-0.374,-0.269,-0.061,-0.424
Mark Blicavs,-0.292,-0.202,-0.151,0.160,0.105,-0.420,0.230,-0.162,-0.194,0.116,0.099,0.032,0.020,1.000,-0.313,0.086,0.185,-0.056,0.038,0.064,-0.103,-0.215,-0.163
Rhys Stanley,0.312,0.297,0.027,-0.402,-0.011,-0.301,-0.105,-0.109,-0.007,-0.338,0.130,0.186,-0.150,-0.313,1.000,0.060,0.064,-0.086,-0.006,0.352,0.146,0.153,0.096
Lawson Humphries,-0.170,0.336,-0.169,0.142,0.047,0.330,0.192,-0.340,-0.399,0.021,-0.083,0.041,-0.511,0.086,0.060,1.000,0.062,-0.384,-0.007,0.538,0.139,-0.081,0.365
Mark O'Connor,-0.048,0.361,0.132,0.050,0.346,-0.514,0.269,0.173,0.413,-0.095,0.452,-0.212,0.091,0.185,0.064,0.062,1.000,-0.348,-0.050,0.018,-0.492,0.003,-0.450
Oisin Mullin,0.288,-0.033,0.279,-0.020,0.183,-0.088,-0.175,0.079,0.125,0.260,-0.015,0.152,0.166,-0.056,-0.086,-0.384,-0.348,1.000,0.210,0.076,0.198,-0.340,-0.320
Tom Stewart,-0.309,-0.252,0.165,0.246,0.050,-0.236,-0.448,0.213,0.137,0.232,-0.005,0.003,-0.218,0.038,-0.006,-0.007,-0.050,0.210,1.000,0.019,0.141,-0.125,-0.004
Zach Guthrie,0.370,0.476,-0.018,0.397,0.371,0.092,0.319,-0.621,-0.171,0.015,-0.111,0.367,-0.374,0.064,0.352,0.538,0.018,0.076,0.019,1.000,0.173,-0.223,0.216
Connor O'Sullivan,0.044,-0.442,-0.275,0.052,0.111,0.204,-0.231,-0.246,0.001,0.240,-0.306,-0.008,-0.269,-0.103,0.146,0.139,-0.492,0.198,0.141,0.173,1.000,-0.260,0.184
Jack Henry,-0.284,-0.125,-0.107,-0.221,-0.404,-0.127,0.125,0.134,-0.038,-0.459,0.094,-0.137,-0.061,-0.215,0.153,-0.081,0.003,-0.340,-0.125,-0.223,-0.260,1.000,0.433
Sam De Koning,0.001,-0.047,-0.339,-0.037,-0.224,0.204,0.083,-0.427,-0.323,-0.011,-0.390,-0.026,-0.424,-0.163,0.096,0.365,-0.450,-0.320,-0.004,0.216,0.184,0.433,1.000
