Player,Mitch Georgiades,Ollie Lord,Darcy Byrne-Jones,Joe Berry,Joe Richards,Sam Powell-Pepper,Willie Rioli,Travis Boak,Christian Moraes,Jackson Mead,Jase Burgoyne,Jason Horne-Francis,Ollie Wines,Willem Drew,Zak Butters,Jordon Sweet,Connor Rozee,Josh Sinn,Kane Farrell,Lachie Jones,Miles Bergman,Aliir Aliir,Brandon Zerk-Thatcher,Esava Ratugolea
Mitch Georgiades,1.000,0.195,0.251,-0.113,-0.112,0.402,0.401,-0.194,0.401,0.278,0.192,0.403,-0.042,0.182,0.198,-0.209,0.040,0.069,-0.006,0.125,-0.049,0.030,-0.244,0.062
Ollie Lord,0.195,1.000,0.144,-0.795,0.231,0.277,-0.133,-0.104,-0.116,0.542,-0.011,0.817,-0.447,-0.365,0.130,-0.511,-0.359,0.017,-0.385,-0.008,-0.415,0.005,-0.819,0.047
Darcy Byrne-Jones,0.251,0.144,1.000,0.742,0.318,-0.043,0.132,0.253,-0.065,0.235,0.070,-0.253,0.066,-0.061,0.303,-0.101,0.109,0.456,0.287,0.607,-0.029,0.003,-0.277,-0.363
Joe Berry,-0.113,-0.795,0.742,1.000,0.004,-0.335,0.339,0.081,0.259,0.044,0.122,-0.686,0.500,-0.054,0.192,0.445,0.033,0.492,0.554,0.342,0.578,0.274,0.154,0.791
Joe Richards,-0.112,0.231,0.318,0.004,1.000,-0.083,-0.093,0.340,-0.044,0.237,-0.196,-0.133,0.107,-0.073,0.549,-0.509,0.190,0.526,0.024,0.520,0.241,-0.166,-0.383,0.099
Sam Powell-Pepper,0.402,0.277,-0.043,-0.335,-0.083,1.000,-0.023,-0.367,0.386,0.276,0.292,-0.313,-0.269,-0.266,-0.635,-0.869,-0.100,-0.041,0.016,-0.417,-0.189,0.010,0.207,0.507
Willie Rioli,0.401,-0.133,0.132,0.339,-0.093,-0.023,1.000,0.020,0.747,0.634,0.603,-0.046,0.468,0.183,-0.309,0.272,0.438,0.291,0.383,-0.012,0.012,0.262,0.126,-0.231
Travis Boak,-0.194,-0.104,0.253,0.081,0.340,-0.367,0.020,1.000,-0.209,0.418,0.147,-0.335,0.367,0.439,-0.171,0.264,0.657,0.138,-0.088,0.219,0.437,-0.170,-0.462,0.086
Christian Moraes,0.401,-0.116,-0.065,0.259,-0.044,0.386,0.747,-0.209,1.000,0.436,0.415,-0.130,0.517,0.247,-0.317,-0.040,0.182,0.248,0.267,0.037,0.275,0.239,0.844,0.206
Jackson Mead,0.278,0.542,0.235,0.044,0.237,0.276,0.634,0.418,0.436,1.000,-0.017,-0.046,0.218,0.007,-0.275,0.015,0.174,0.099,0.212,-0.152,0.093,0.376,-0.812,-0.007
Jase Burgoyne,0.192,-0.011,0.070,0.122,-0.196,0.292,0.603,0.147,0.415,-0.017,1.000,-0.020,0.210,0.106,-0.245,0.197,0.378,0.249,-0.041,0.066,-0.100,0.107,0.479,0.324
Jason Horne-Francis,0.403,0.817,-0.253,-0.686,-0.133,-0.313,-0.046,-0.335,-0.130,-0.046,-0.020,1.000,-0.197,-0.002,0.222,0.136,-0.299,-0.205,-0.469,0.225,-0.221,-0.203,-0.112,-0.078
Ollie Wines,-0.042,-0.447,0.066,0.500,0.107,-0.269,0.468,0.367,0.517,0.218,0.210,-0.197,1.000,0.287,-0.153,0.387,0.274,0.341,0.294,-0.097,0.225,0.004,0.354,0.126
Willem Drew,0.182,-0.365,-0.061,-0.054,-0.073,-0.266,0.183,0.439,0.247,0.007,0.106,-0.002,0.287,1.000,0.045,0.373,0.300,-0.227,-0.134,0.406,0.097,0.067,0.097,-0.170
Zak Butters,0.198,0.130,0.303,0.192,0.549,-0.635,-0.309,-0.171,-0.317,-0.275,-0.245,0.222,-0.153,0.045,1.000,-0.219,-0.101,0.380,-0.051,0.550,0.048,-0.096,0.015,-0.265
Jordon Sweet,-0.209,-0.511,-0.101,0.445,-0.509,-0.869,0.272,0.264,-0.040,0.015,0.197,0.136,0.387,0.373,-0.219,1.000,-0.037,-0.211,0.127,0.024,0.036,0.470,0.127,-0.597
Connor Rozee,0.040,-0.359,0.109,0.033,0.190,-0.100,0.438,0.657,0.182,0.174,0.378,-0.299,0.274,0.300,-0.101,-0.037,1.000,0.163,0.110,0.100,0.107,-0.416,-0.131,0.056
Josh Sinn,0.069,0.017,0.456,0.492,0.526,-0.041,0.291,0.138,0.248,0.099,0.249,-0.205,0.341,-0.227,0.380,-0.211,0.163,1.000,0.254,0.335,0.499,-0.059,-0.107,0.087
Kane Farrell,-0.006,-0.385,0.287,0.554,0.024,0.016,0.383,-0.088,0.267,0.212,-0.041,-0.469,0.294,-0.134,-0.051,0.127,0.110,0.254,1.000,-0.113,-0.298,0.361,0.320,0.041
Lachie Jones,0.125,-0.008,0.607,0.342,0.520,-0.417,-0.012,0.219,0.037,-0.152,0.066,0.225,-0.097,0.406,0.550,0.024,0.100,0.335,-0.113,1.000,0.209,-0.001,0.139,-0.449
Miles Bergman,-0.049,-0.415,-0.029,0.578,0.241,-0.189,0.012,0.437,0.275,0.093,-0.100,-0.221,0.225,0.097,0.048,0.036,0.107,0.499,-0.298,0.209,1.000,0.054,-0.513,0.270
Aliir Aliir,0.030,0.005,0.003,0.274,-0.166,0.010,0.262,-0.170,0.239,0.376,0.107,-0.203,0.004,0.067,-0.096,0.470,-0.416,-0.059,0.361,-0.001,0.054,1.000,0.335,-0.085
Brandon Zerk-Thatcher,-0.244,-0.819,-0.277,0.154,-0.383,0.207,0.126,-0.462,0.844,-0.812,0.479,-0.112,0.354,0.097,0.015,0.127,-0.131,-0.107,0.320,0.139,-0.513,0.335,1.000,0.344
Esava Ratugolea,0.062,0.047,-0.363,0.791,0.099,0.507,-0.231,0.086,0.206,-0.007,0.324,-0.078,0.126,-0.170,-0.265,-0.597,0.056,0.087,0.041,-0.449,0.270,-0.085,0.344,1.000
