Player,Aaron Naughton,Buku Khamis,Sam Darcy,Lachlan McNeil,Laitham Vandermeer,Rhylee West,Joel Freijah,Ryley Sanders,Bailey Williams,Ed Richards,James Harmes,Marcus Bontempelli,Matthew Kennedy,Sam Davidson,Tom Liberatore,Tim English,Bailey Dale,Jason Johannisen,Lachlan Bramble,Luke Cleary,James O'Donnell,Rory Lobb
Aaron Naughton,1.000,0.094,-0.401,-0.111,0.142,-0.262,0.117,-0.163,-0.253,0.068,0.314,-0.147,-0.072,-0.389,-0.301,0.115,-0.136,-0.188,0.121,0.028,-0.041,-0.345
Buku Khamis,0.094,1.000,-0.074,0.140,0.414,-0.038,-0.284,-0.179,-0.349,0.180,0.201,0.176,0.156,-0.004,0.490,-0.133,-0.001,0.012,-0.556,0.223,0.198,-0.028
Sam Darcy,-0.401,-0.074,1.000,0.623,-0.228,0.269,-0.117,-0.080,0.225,0.176,0.179,0.340,0.567,0.454,0.303,0.370,-0.116,-0.092,-0.198,-0.223,-0.330,0.306
Lachlan McNeil,-0.111,0.140,0.623,1.000,0.171,0.428,-0.005,0.118,0.188,0.345,-0.131,-0.241,0.463,0.365,0.294,0.276,0.022,-0.146,-0.002,-0.141,-0.344,0.307
Laitham Vandermeer,0.142,0.414,-0.228,0.171,1.000,0.192,0.101,-0.008,-0.170,0.358,-0.066,-0.153,0.247,-0.068,0.183,-0.036,0.092,-0.162,-0.121,-0.419,0.095,0.219
Rhylee West,-0.262,-0.038,0.269,0.428,0.192,1.000,0.060,0.108,-0.001,0.297,-0.361,0.103,0.368,-0.083,0.016,0.000,0.229,0.160,0.149,0.036,-0.136,0.153
Joel Freijah,0.117,-0.284,-0.117,-0.005,0.101,0.060,1.000,0.137,0.346,0.226,-0.073,-0.313,0.026,0.102,0.272,-0.001,0.404,0.179,-0.037,-0.167,-0.008,-0.331
Ryley Sanders,-0.163,-0.179,-0.080,0.118,-0.008,0.108,0.137,1.000,0.347,-0.364,0.497,-0.428,0.123,0.426,0.179,-0.079,-0.030,0.040,0.454,0.234,-0.112,0.249
Bailey Williams,-0.253,-0.349,0.225,0.188,-0.170,-0.001,0.346,0.347,1.000,-0.055,-0.119,0.035,0.034,0.716,0.027,0.315,0.253,0.519,0.234,0.511,0.124,0.061
Ed Richards,0.068,0.180,0.176,0.345,0.358,0.297,0.226,-0.364,-0.055,1.000,-0.564,0.077,0.098,-0.258,0.111,-0.044,0.149,0.017,-0.103,-0.127,0.071,-0.134
James Harmes,0.314,0.201,0.179,-0.131,-0.066,-0.361,-0.073,0.497,-0.119,-0.564,1.000,-0.618,0.272,0.251,0.018,0.380,0.031,0.286,-0.235,0.252,0.273,-0.471
Marcus Bontempelli,-0.147,0.176,0.340,-0.241,-0.153,0.103,-0.313,-0.428,0.035,0.077,-0.618,1.000,-0.421,0.054,-0.134,0.117,-0.246,0.638,0.267,0.486,0.307,-0.015
Matthew Kennedy,-0.072,0.156,0.567,0.463,0.247,0.368,0.026,0.123,0.034,0.098,0.272,-0.421,1.000,0.187,0.005,0.436,0.039,-0.322,-0.263,-0.333,-0.250,0.358
Sam Davidson,-0.389,-0.004,0.454,0.365,-0.068,-0.083,0.102,0.426,0.716,-0.258,0.251,0.054,0.187,1.000,0.552,0.309,0.055,0.434,0.026,0.410,0.069,0.260
Tom Liberatore,-0.301,0.490,0.303,0.294,0.183,0.016,0.272,0.179,0.027,0.111,0.018,-0.134,0.005,0.552,1.000,-0.340,0.137,0.170,-0.333,-0.120,0.042,0.141
Tim English,0.115,-0.133,0.370,0.276,-0.036,0.000,-0.001,-0.079,0.315,-0.044,0.380,0.117,0.436,0.309,-0.340,1.000,0.012,0.188,-0.043,0.311,0.141,-0.121
Bailey Dale,-0.136,-0.001,-0.116,0.022,0.092,0.229,0.404,-0.030,0.253,0.149,0.031,-0.246,0.039,0.055,0.137,0.012,1.000,0.351,-0.229,0.401,0.303,-0.101
Jason Johannisen,-0.188,0.012,-0.092,-0.146,-0.162,0.160,0.179,0.040,0.519,0.017,0.286,0.638,-0.322,0.434,0.170,0.188,0.351,1.000,0.090,0.698,0.686,-0.153
Lachlan Bramble,0.121,-0.556,-0.198,-0.002,-0.121,0.149,-0.037,0.454,0.234,-0.103,-0.235,0.267,-0.263,0.026,-0.333,-0.043,-0.229,0.090,1.000,0.272,-0.087,0.183
Luke Cleary,0.028,0.223,-0.223,-0.141,-0.419,0.036,-0.167,0.234,0.511,-0.127,0.252,0.486,-0.333,0.410,-0.120,0.311,0.401,0.698,0.272,1.000,0.511,-0.290
James O'Donnell,-0.041,0.198,-0.330,-0.344,0.095,-0.136,-0.008,-0.112,0.124,0.071,0.273,0.307,-0.250,0.069,0.042,0.141,0.303,0.686,-0.087,0.511,1.000,-0.278
Rory Lobb,-0.345,-0.028,0.306,0.307,0.219,0.153,-0.331,0.249,0.061,-0.134,-0.471,-0.015,0.358,0.260,0.141,-0.121,-0.101,-0.153,0.183,-0.290,-0.278,1.000
